AL,Alabama,32.688053,-86.810585
AZ,Arizona,34.255149,-111.62621
AR,Arkansas,34.755883,-92.640559
CA,California,36.531544,-119.586168
CO,Colorado,38.996664,-105.547822
CT,Connecticut,41.580163,-72.756629
DE,Delaware,38.978849,-75.46014
DC,District of Columbia,38.912097,-77.014683
FL,Florida,27.97762,-81.769611
GA,Georgia,32.53951,-83.380775
HI,Hawaii,24.200987,-104.313994
ID,Idaho,43.764877,-114.964267
IL,Illinois,40.265028,-89.191575
IN,Indiana,39.904493,-86.250281
IA,Iowa,42.039943,-93.500069
KS,Kansas,38.500327,-98.380429
KY,Kentucky,37.696825,-84.924095
LA,Louisiana,30.542601,-92.51441
ME,Maine,45.243327,-69.171071
MD,Maryland,39.038828,-76.346717
MA,Massachusetts,42.358752,-71.531484
MI,Michigan,43.924812,-84.633107
MN,Minnesota,46.63636,-94.579641
MS,Mississippi,32.921921,-89.687118
MO,Missouri,38.353141,-92.747022
MT,Montana,47.001265,-109.645406
NE,Nebraska,41.499671,-99.810075
NV,Nevada,39.440688,-116.598569
NH,New Hampshire,43.644386,-71.586283
NJ,New Jersey,39.66502,-74.738208
NM,New Mexico,34.498624,-106.108278
NY,New York,43.408777,-74.871618
NC,North Carolina,35.387362,-78.455056
ND,North Dakota,47.471495,-100.469096
OH,Ohio,40.262259,-82.883453
OK,Oklahoma,35.455622,-97.508021
OR,Oregon,43.854178,-120.526709
PA,Pennsylvania,40.860198,-77.838617
RI,Rhode Island,41.587536,-71.514739
SC,South Carolina,33.702857,-80.627523
SD,South Dakota,44.470716,-100.229958
TN,Tennessee,35.820245,-86.343764
TX,Texas,31.030974,-98.326329
UT,Utah,39.098999,-111.878816
VT,Vermont,44.211857,-72.681238
VA,Virginia,37.73086,-78.376655
WA,Washington,47.372269,-120.59234
WV,West Virginia,38.720281,-80.649428
WI,Wisconsin,44.356004,-89.466198
WY,Wyoming,43.001645,-107.55153
AK,Alaska,28.12768,-117.981766
